               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.017362,           0.0019843,                   0,             0.99413,             0.58042,             0.59353,              0.3535,            0.030348,            0.005863,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017319,           0.0019958,                   0,             0.99348,             0.58057,             0.59365,              0.3534,            0.030367,           0.0058538,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.017227,           0.0019768,                   0,             0.99429,             0.58019,             0.59375,             0.35324,            0.030393,           0.0058414,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017025,           0.0019709,                   0,               0.995,             0.58019,             0.59379,             0.35306,            0.030411,            0.005838,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.016924,           0.0019773,                   0,             0.99446,             0.58019,             0.59383,             0.35306,             0.03043,           0.0058324,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01661,           0.0019286,                   0,             0.99501,             0.58019,             0.59389,              0.3529,            0.030458,           0.0058298,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.016703,           0.0019401,                   0,             0.99543,             0.58054,             0.59391,             0.35294,            0.030476,           0.0058275,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016601,           0.0019401,                   0,             0.99382,             0.58133,             0.59394,             0.35284,             0.03049,           0.0058225,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016415,           0.0019294,                   0,             0.99364,             0.58095,             0.59397,             0.35277,            0.030502,           0.0058195,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.016479,           0.0019355,                   0,              0.9926,             0.58133,             0.59402,             0.35283,            0.030511,           0.0058148,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016454,           0.0019283,                   0,             0.99333,             0.58133,             0.59418,              0.3529,            0.030517,           0.0058118,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016256,           0.0019127,                   0,             0.99328,             0.58171,             0.59422,             0.35272,            0.030526,           0.0058122,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015751,           0.0018899,                   0,             0.99277,             0.58171,             0.59423,              0.3522,            0.030536,           0.0058112,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.015906,           0.0018693,                   0,             0.99285,             0.58179,             0.59423,             0.35214,            0.030545,           0.0058069,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.015726,           0.0018842,                   0,             0.99377,             0.58171,              0.5942,             0.35126,            0.030551,           0.0058074,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015605,           0.0018826,                   0,             0.99273,             0.58248,             0.59421,             0.35111,            0.030558,            0.005807,                   0,            0.000298,            0.000298,            0.000298
